username;ip_address;product;price;infos
ldrover0;666.666.666.666;Clam - Cherrystone;712.8;May contain sugar
kizakov1;nope;Soup - Campbells Bean Medley;379.26;Contains peanut and fish
abromet2;240.177.79.234;Island Oasis - Lemonade;305.96;Ingredients: mustard and fish
kkarolowski3;26.191.237.49;Water - Mineral, Natural;350.15;Contains gluten
mbuckney4;58.90.204.239;Radish - Pickled;949.79;May contain sugar, egg and fish
bsnozzwell5;226.52.32.70;Oil - Sesame;354.33 MGA;Ingredients: sugar and milk
afairholme6;127.197.204.119;Chicken - Tenderloin;484.83;May contain sugar
avowdon7;189.169.17.54;Dc Hikiage Hira Huba;111.56;Contains sugar
epridham8;187.129.113.105;Dried Figs;88.05;Ingredients: sugar, milk and fish
tkendrew9;22.32.234.215;Pop - Club Soda Can;861.25;May contain peanut, sugar, milk and fish
cjagielaa;75.254.207.163;Cinnamon Rolls;966.34;Contains peanut, sugar, egg and fish
jdolbeyb;17.105.113.72;Wine - Ice Wine;679.57;Ingredients: mustard, sugar and milk
chaylandsc;208.239.186.79;Chicken Thigh - Bone Out;725.88;Ingredients: gluten and sugar
mvidelerd;116.18.56.20;Trout Rainbow Whole;178.58;May contain peanut
jmulvine;87.198.88.207;Bread Crumbs - Panko;150.89;Ingredients: gluten, soja, sugar and milk
kcaldeyrouxf;138.44.156.99;Vector Energy Bar;72.51;Ingredients: gluten, soja, sugar and milk
ctaftg;18.61.195.234;Versatainer Nc - 888;373.96;Ingredients: soja and sugar
ksumptonh;150.214.20.140;Bagel - Ched Chs Presliced;957.7 EUR;Contains peanut, sugar and egg
aloweri;157.197.190.113;Dry Ice;963.32;Contains sugar and milk
sgarmeyj;219.75.213.15;Nantucket - Kiwi Berry Cktl.;772.7;Contains gluten, soja, sugar, egg and fish
mjahndelk;225.250.18.162;Gherkin;550.63;May contain soja
chayhurstl;157.145.5.133;Muffin - Bran Ind Wrpd;705.45;Ingredients: soja and sugar
rpayntonm;105.123.55.143;Tart Shells - Savory, 3;135.84;Ingredients: peanut, soja and sugar
ahammelbergn;222.143.75.39;Wine - Manischewitz Concord;658.92;Ingredients: sugar
dpico;17.226.242.68;Bread - Pain Au Liat X12;917.69;Contains sugar, milk and fish
bberntp;201.51.7.205;Extract - Almond;355.46;May contain sugar and milk
vdeniskevichq;177.248.202.127;Soup Campbells Turkey Veg.;952.08;Ingredients: egg and fish
apesr;24.1.79.147;Numi - Assorted Teas;770.98;Contains mustard and sugar
mheynels;123.157.88.33;Cranberries - Dry;524.1;Ingredients: gluten, soja and sugar
rmackessockt;254.37.135.127;Bread - Roll, Canadian Dinner;597.95;Ingredients: sugar and milk
grommeu;254.21.208.244;Mousse - Mango;709.39;Contains sugar, egg and fish
dbocockv;134.167.195.239;Bacardi Mojito;269.56;Contains mustard, milk and fish
mcamousw;140.223.76.83;Beer - Corona;254.98;May contain mustard, sugar, milk and fish
imildnerx;67.232.83.24;Pasta - Shells, Medium, Dry;328.83;May contain gluten, sugar and milk
cmilellay;124.100.237.236;Pears - Fiorelle;622.46;Contains soja and milk
jburdinz;12.218.65.100;Cheese - Cheddarsliced;336.88;Ingredients: gluten
mbelding10;22.73.245.49;Cheese - Ricotta;756.85;May contain gluten and sugar
shiers11;191.45.106.36;Juice - Lemon;683.29;Ingredients: peanut, milk and fish
sbaudassi12;47.153.1;Longos - Grilled Veg Sandwiches;524.5;May contain sugar and fish
gtingle13;32.112.67.248;Soup - French Can Pea;764.56;Ingredients: soja, sugar, egg and fish
lbadsey14;188.98.203.195;Truffle Paste;353.48;May contain sugar and fish
gallsepp15;167.174.244.176;Beef Wellington;512.06;May contain soja, sugar and egg
kbeecheno16;21.124.12.215;Pickle - Dill;763.44;Contains mustard, sugar and egg
rsedgeman17;190.233.51.35;Juice - Clam, 46 Oz;512.02;Contains sugar
fkillimister18;143.75.128.57;Scallops - Live In Shell;743.2;Ingredients: soja, sugar and milk
tsaile19;41.63.88.3;Ham - Virginia;789.78 EUR;Ingredients: sugar and egg
estolz1a;32.77.50.179;Curry Paste - Green Masala;662.6;Ingredients: soja, sugar and fish
breven1b;201.14.107.40;Water - San Pellegrino;53.8;May contain peanut, soja, sugar and milk
tnusche1c;109.144.241.78;Tomatoes - Grape;852.58;May contain peanut, sugar and fish
ychuter1d;136.251.73.188;Coconut - Shredded, Unsweet;985.06;May contain peanut, mustard, sugar and milk
dlambdean1e;246.216.13.211;Aspic - Light;110.24;May contain egg
dempson1f;220.115.202.199;Rum - Spiced, Captain Morgan;342.82;Contains gluten, sugar and milk
gborham1g;180.2.219;Squash - Guords;92.26;May contain sugar, egg and fish
fsouthey1h;69.135.112.215;Sansho Powder;207.7;Ingredients: peanut, soja, egg and fish
hturbern1i;223.25.136.102;Ham - Virginia;77.98;Contains gluten and sugar
jmalia1j;6.120.0.29;Veal - Inside Round / Top, Lean;515.54;Contains soja
rpittendreigh1k;178.154.116.57;Crab - Meat Combo;330.19;Ingredients: peanut, sugar and fish
arichings1l;207.0.191.149;Beef - Sushi Flat Iron Steak;86.64;Ingredients: mustard
vhadingham1m;109.242.195.131;Sloe Gin - Mcguinness;167.6;May contain sugar and fish
cwrenn1n;38.125.216.233;Cheese - Perron Cheddar;925.05;May contain gluten, soja and milk
hdulieu1o;35.105.188.50;Kellogs Raisan Bran Bars;537.55;Contains mustard, egg and fish
iprendiville1p;104.27.157.229;Grouper - Fresh;689.88 USD;May contain peanut
emessum1q;133.56.53.78;Milk - Chocolate 250 Ml;72.36;Ingredients: gluten, mustard and sugar
